


 clock   elapsed:              other lines
 clock   self+sourced   self:  sourced script
000.361: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/rplugin.vim
000.369: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/syncolor.vim
000.377: sourcing vimrc file(s)
000.394: sourcing /Users/e1205822/.local/share/nvim/plugged/pic-vim/plugin/pic-vim.vim
000.408: expanding arguments
000.435: sourcing /Users/e1205822/.local/share/nvim/runtime/autoload/remote/define.vim
000.438: init highlight
000.442: sourcing /Users/e1205822/.config/nvim/config/terminal.vim
000.443: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-flog/plugin/flog.vim
000.446: sourcing /Users/e1205822/.config/nvim/config/coc.vim
000.446: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-matchup/autoload/matchup/loader.vim
000.492: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-gutentags/autoload/gutentags.vim
000.513: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-quickui/autoload/quickui/menu.vim
000.533: sourcing /Users/e1205822/.config/nvim/config/remappings.vim
000.535: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/syntax.vim
000.545: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-surround/plugin/surround.vim
000.559: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-polyglot/syntax/log.vim
000.585: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/synload.vim
000.588: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-matchup/autoload/matchup/matchparen.vim
000.602: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/synload.vim
000.622: sourcing /Users/e1205822/.local/share/nvim/plugged/coc.nvim/autoload/coc/util.vim
000.641: sourcing /Users/e1205822/.local/share/nvim/runtime/scripts.vim
000.673: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-mundo/plugin/mundo.vim
000.674: loading after plugins
000.681: sourcing /Users/e1205822/.local/share/nvim/plugged/VirkSpaces/autoload/virkspaces.vim
000.692: inits 1
000.701: sourcing /Users/e1205822/.config/nvim/config/interface.vim
000.732: sourcing /Users/e1205822/.fzf/plugin/fzf.vim
000.747: sourcing /Users/e1205822/.local/share/nvim/runtime/syntax/syntax.vim
000.763: sourcing /Users/e1205822/.local/share/nvim/plugged/indentLine/after/plugin/indentLine.vim
000.790: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-startify/autoload/startify.vim
000.826: sourcing /Users/e1205822/.local/share/nvim/plugged/fzf.vim/plugin/fzf.vim
000.840: sourcing /Users/e1205822/.local/share/nvim/plugged/lightline.vim/autoload/lightline.vim
000.907: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/netrwPlugin.vim
001.145: locale set
001.313: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-fugitive/plugin/fugitive.vim
001.468: sourcing /Users/e1205822/.config/nvim/config/highlighting.vim
001.630: sourcing /Users/e1205822/.config/nvim/config/functions.vim
001.966: sourcing /Users/e1205822/.local/share/nvim/rplugin.vim
002.009: sourcing /Users/e1205822/.local/share/nvim/site/autoload/plug.vim
003.441: sourcing /Users/e1205822/.config/nvim/config/quickui.vim
003.497: done waiting for UI
003.600: sourcing /Users/e1205822/.local/share/nvim/runtime/plugin/matchit.vim
003.752: sourcing /Users/e1205822/.local/share/nvim/plugged/lightline.vim/autoload/lightline/colorscheme/1989.vim
004.162: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-polyglot/ftdetect/polyglot.vim
004.710: opening buffers
004.939: BufEnter autocommands
004.957: sourcing /Users/e1205822/.local/share/nvim/plugged/1989.vim/colors/1989.vim
005.103: sourcing /Users/e1205822/.local/share/nvim/plugged/nerdcommenter/plugin/NERD_commenter.vim
005.132: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-matchup/plugin/matchup.vim
005.269: sourcing /Users/e1205822/.local/share/nvim/plugged/vim-fugitive/autoload/fugitive.vim
006.942: sourcing /Users/e1205822/.local/share/nvim/plugged/coc.nvim/plugin/coc.vim
007.609: reading ShaDa
007.633: sourcing /Users/e1205822/.local/share/nvim/runtime/filetype.vim
010.906: sourcing /Users/e1205822/.local/share/nvim/plugged/recover.vim/autoload/recover.vim
011.205: loading plugins
011.252: sourcing /Users/e1205822/.config/nvim/config/plugins.vim
017.875: sourcing /Users/e1205822/.config/nvim/init.vim
018.610: VimEnter autocommands
037.037: first screen update
047.533: sourcing /Users/e1205822/gitclones/vim-neovim-config/.git/session.vim
times in msec
